date,product_id,quantity,vendor,unit_price
2019-02-19,74,188,A,0.97
2018-03-04,62,140,B,0.75
2020-08-20,48,154,B,0.77
2018-04-16,18,163,B,1.08
2019-09-16,57,187,A,0.87
2019-10-09,7,171,A,0.86
2020-05-06,63,164,B,0.77
2020-08-08,19,100,C,1.02
2018-10-15,46,186,D,0.88
2019-01-15,67,153,D,1.06
2018-08-05,16,124,D,0.95
2019-10-03,31,192,C,1.06
2019-08-22,79,102,C,0.62
2020-10-11,73,162,C,0.87
2018-05-17,88,114,D,0.61
2019-03-10,61,184,A,0.83
2020-02-26,26,161,D,0.92
2020-09-21,8,120,D,0.84
2021-02-11,43,138,C,0.98
2020-05-25,17,161,A,0.86
2019-09-27,67,141,C,1
2019-10-24,27,112,C,0.8
2019-11-22,16,140,B,0.67
2020-01-13,83,140,A,0.92
2018-12-27,78,140,B,0.97
2018-08-15,1,140,B,0.74
2020-04-24,29,140,B,0.73
2018-01-17,67,140,A,0.73
2020-06-23,70,140,A,0.92
2018-06-04,16,140,B,0.9
2020-04-25,65,140,C,0.8
2019-12-24,35,140,D,0.77
2020-12-15,63,140,D,1.02
2020-04-16,5,140,D,1.1
2019-03-13,79,140,C,0.66
2020-11-05,85,164,C,0.9
2018-01-24,90,192,C,0.8
2021-01-29,23,211,D,0.92
2018-08-26,50,140,A,0.97
2018-03-19,20,76,D,0.74
2018-12-19,68,168,D,0.73
2018-12-23,1,86,C,0.73
2019-12-31,18,209,A,0.92
2018-02-09,91,193,C,0.9
2021-02-26,5,115,C,0.8
2019-03-23,46,173,B,0.77
2018-01-05,34,80,A,1.02
2018-07-18,4,129,B,1.1
2020-12-26,28,173,B,0.66
2019-04-05,77,117,B,0.9
2019-10-15,26,155,A,0.8
2020-06-22,86,179,A,0.92
2018-07-28,66,175,B,0.97
2019-02-04,91,140,C,0.74
2018-06-29,72,215,D,0.73
2019-07-31,48,184,D,0.73
2018-03-31,73,130,D,0.92
2019-09-05,89,189,C,0.9
2020-08-03,89,139,C,0.8
2020-10-16,31,99,C,0.77
2018-08-05,71,163,D,1.02
2020-07-11,46,84,A,1.1
2018-11-23,29,138,D,0.66
2019-07-09,15,79,D,0.97
2020-07-05,32,192,C,0.75
2020-07-28,73,139,A,0.77
2019-03-26,6,135,C,1.08
2020-02-10,58,173,C,0.87
2018-03-27,82,118,B,0.86
2019-09-20,88,140,A,0.77
2018-09-12,78,94,B,1.02
2018-12-20,79,89,B,0.88
2018-11-25,16,134,B,1.06
2020-07-27,47,171,A,0.95
2019-08-23,65,108,A,1.06
2018-09-17,76,106,B,0.92
2019-11-15,86,119,C,0.97
2021-01-12,58,219,D,0.74
2018-06-02,77,117,D,0.73
2020-02-07,38,158,D,0.73
2018-01-09,34,130,C,0.92
2018-07-05,72,121,C,0.9
2019-05-16,55,134,C,0.8
2020-05-23,31,217,D,0.77
2019-12-22,62,179,A,1.02
2020-11-10,46,165,D,1.1
2020-09-28,28,208,D,0.66
2018-07-23,33,178,C,0.9
2020-12-09,20,142,A,0.8
2019-05-04,9,127,C,0.92
2019-09-24,38,121,C,0.97
2020-06-04,56,129,B,0.74
2020-10-04,31,126,A,0.73
2020-10-06,81,127,B,0.73
2019-10-14,88,144,B,0.92
2018-02-06,42,163,B,0.9
2018-03-09,62,173,A,0.8
2019-03-10,15,196,A,0.77
2020-04-07,46,164,B,1.02
2019-08-22,88,91,C,1.1
2020-08-29,6,206,D,0.66
2018-03-26,57,225,D,0.9
2021-01-04,49,164,D,0.8
2019-12-14,21,75,C,0.92
2020-09-08,62,182,C,0.97
2019-05-12,65,88,C,0.74
2018-10-29,49,84,D,0.73
2018-11-04,66,125,A,0.73
2021-01-24,71,80,D,0.92
2019-12-13,69,105,D,0.9
2018-07-12,21,194,C,0.8
2018-01-03,7,118,A,0.77
2020-09-22,89,140,C,1.02
2018-05-11,58,146,C,1.1
2020-11-20,37,224,B,0.66
2018-04-02,15,132,A,0.97
2020-09-21,10,141,B,0.75
2019-05-03,47,93,B,0.77
2019-02-23,67,214,B,1.08
2019-05-09,83,189,A,0.87
2018-04-21,19,127,A,0.86
2020-01-24,44,96,B,0.77
2019-09-15,76,185,C,1.02
2019-06-14,80,166,D,0.88
2019-09-12,38,154,D,1.06
2019-01-25,38,163,D,0.95
2021-02-27,39,100,C,1.06
2019-12-15,29,156,C,0.91
2020-05-15,3,139,C,0.92
2019-08-22,21,136,D,0.97
2019-03-20,10,223,A,0.74
2018-11-22,51,225,D,0.73
2020-11-19,82,112,D,0.73
2020-06-01,34,216,C,0.92
2018-01-26,65,155,A,0.9
2020-09-02,62,115,C,0.8
2018-05-31,33,100,C,0.77
2019-08-06,8,82,B,1.02
